color	text
white	Похотливая сушка
white	Животная оргия в доме престарелых
white	Полный лоток перцового мороженого
white	Дедушка Мороз
white	Подкуп гаишника печеньками
white	Сосед в эротическом костюме
white	Китайские собаки в колготках
white	Гордый еж-летун
white	Нейрохирургия шилом
white	Владыка Распердыка
white	Летняя рыбалка на упорыша
white	Клизма с отваром ромашки
white	Бизнес-тренинг в борделе
white	Шпион в женской раздевалке
white	Лечебные грибы, помогающие бороться с волнением перед экзаменом
white	Порнофильм, заканчивающийся свадьбой
white	Финалист шоу «Волос»
white	Вынужденные извращения
white	Водяной пистолет с текилой
white	Дураки и дороги
white	Наглое уклонение от уплаты налогов
white	Сайт знакомств для животных
white	Сосед сверху, который топает как слон
white	Петтинг
white	Легкий флирт в мужском туалете
white	Расплавленный сыр
white	Котаин
white	Тверкинг
white	Клизма из настоя утренней росы
white	Облегчение в штаны
white	Рыцарь в латексных доспехах
white	Проход во внутренний мир
white	Корабль радости
white	Юный сатанист-филантроп
white	Коренной московский таджик
white	Извращенные фантазии
white	Кошмар на проспекте Ленина
white	Сосед по даче
white	Джузеппе Членони, Итальянский Постельных Дел Мастер
white	Секс, ложь и борщ
white	Теплое пиво
white	Человек-сосед
white	Внедорожная версия секса
white	Мои большие яйца
white	Честные выборы
white	Неприкрытые гениталии
white	Ограбление Ксении Собчак толпой пенсионеров
white	Зажигательные речи Виталия Кличко
white	Запах секса
white	Слабоумие и отвага
white	Амфетамины
white	Гавнодушие
white	Пиджак, изящно заправленный в брюки
white	Зона отчуждения
white	Горькая попка огурца
white	Морячок-маньячок
white	Бормотание из-под шконки
white	Похотливая гусеничка
white	Конь Михаила Боярского в качестве депутата Госдумы
white	Скучающий Антихрист
white	Депрессивный трансвестит
white	Бешеная свиноматка
white	Ерунда какая-то
white	Встреча выпускников
white	Восковая фигура Путина
white	Шепелявящий бездомный музыкант
white	Курение вагиной
white	Злобный карлик
white	Миллиард комаров
white	Нудисты в женском монастыре
white	Властные органы в руках рабочих
white	Черт знает что
white	Продажная тушенка
white	Сочный пельмень
white	Селфи
white	Проститутка на пенсии
white	Апофигей опупеоза
white	Бахчисарайский сарай
white	Чувственный маразм
white	Секс-кукла вуду
white	Ассортимент секс-шопа
white	Жесткое немецкое порно
white	Доклад начальника транспортного цеха
white	Первокурсницы
white	Секс по службе
white	Хватание за причиндалы
white	Увлажнение слизью улиток
white	Утренний поход до ванной враскоряку
white	Симулятор симуляции оргазма
white	Грациозные ленивцы на унициклах
white	Мощный приход
white	Ктулху
white	Чудовище, живущее под одеялом
white	Запихивание носка в плавки перед походом на пляж
white	Сало единорога
white	Серийный самоубийца
white	Дискотека «Если вам за 50»
white	Дрыночная экономика
white	Николай Валуев, поющий колыбельную
white	Скачивание всего интернета на флешку
white	Суровый трудовик
white	Стадо бронтозавров
white	Православие головного мозга
white	Вьетнамки
white	Теплый ламповый звук в моем смартфоне
white	Очередная игра в танчики
white	Секс по дружбе
white	Бесславная карьера профессионального смотрельщика сериалов
white	Передний зуб Овечкина
white	Кошачий корм
white	Дезодорант с запахом чизбургера
white	4 литра самогона
white	Анальное ущемление
white	Хрустальная салатница с кровью вьетнамской девственницы
white	Гигантские роботы, убивающие все
white	Галоперидол
white	Плацебо
white	Дедушкина вставная челюсть в стакане
white	Букет борщевиков
white	Волшебные грибы
white	Гипножаба
white	Свобода самовырождения
white	Оборотни в погонах
white	Великая пенисная паника
white	Подруга, которая затыкается, только когда спит
white	Лабрадор Владимира Путина
white	Мармеладные мишки
white	Засорение канализации
white	Ведро гвоздей
white	Пердеж в бассейне
white	Приоткрытые врата сладострастия
white	Симбиоз с ксеноморфом
white	Инопланетная форма жизни
white	Клоун на антидепрессантах
white	Няш-мяш
white	Смерть от рук Чака Норриса
white	Галлюциногены
white	Мозги Саши Грей
white	Ковбойские штаны
white	Собака мордой вниз
white	Сиськи-письки
white	Штраф за неправильную морковку
white	Богоподобие в спальне
white	Расстрелы и репрессии
white	Комочек в пупке
white	Собака породы чихуанихуа
white	Хмельная радость
white	Дефлопе
white	Какодемон
white	Неопровержимые улитки
white	Выжигание напалмом
white	Тяжелый самоходный огнемет «Буратино»
white	Зомби-некрофил
white	Лилипуты
white	Удовольствие через боль
white	Лапша быстрого реагирования
white	Традиционные семейные ценности
white	Булава Всевластья
white	Всеобщий троллинг
white	Смысл Дня народного единства
white	Легкость нытия
white	Гоша Нуценко в розовом парике
white	Глубокий горловой сонет
white	Пижамная вечеринка в армейской казарме
white	Отпукиватель кротов
white	Окаменевшая сперма мамонта
white	Гипертекстовый Фидонет
white	Цветной струйный сфинктер
white	Секс, наркотики, мороженое и котики
white	Что за чушь
white	Похмелье от кефира
white	Метающий гомострелы Амур
white	Проказа
white	Психолог-эксгибиционист
white	Трололо
white	Водитель троллейбуса в латексе
white	Владимир Путин
white	Страстный любовник-француз
white	Белоснежка и семь гномов в новом порно-ситкоме
white	Каймановая черепаха-членокус
white	Умные и всесторонне развитые блондинки
white	Лосось-соблазнитель
white	Исполнение рок-оперы в душе
white	Террористы и котики
white	Тараканы в голове
white	Животноводство
white	Таблетки от глистов
white	Печеньки
white	Старый альбом с фотографиями ню
white	40 кошек, живущих дома
white	Винное поле
white	Монобровь
white	Поза наездницы во время оргии на ипподроме
white	Икрометный юмор
white	Ностальгия по ремню отца
white	Обосратушки
white	Трехэтажный стих
white	Черный Властелин
white	Секс в большом торте
white	Ведро кефира
white	Розовеньное трико
white	Многотомник «Приключения для задницы»
white	Глазированные сырки
white	Моя прелесть
white	Яблоки со своей дачи
white	Белка и Стрелка
white	Секс без причины
white	Велосипедисты под кайфом
white	Клонированная лошадь
white	Фригидная женщина
white	Хипстеры
white	Избалованные дети
white	Поход к шефу на ковер
white	Метание какашек
white	Аромат немытых тел в общественном транспорте
white	Пол-литра
white	Членовредительство
white	Пьянство в одно жало
white	Витиеватые испражнения
white	Незапланированная беременность
white	Мозолистые ручки китайских рабочих
white	Носки, стоящие в углу
white	Чудище для сексуальных утех
white	Котики и сиськи
white	Обсасывание колпачка у ручки
white	Жесткая немецкая сказка
white	Анальные шарики в качестве шейного массажера
white	Лоснящиеся щеки Ивана Урганта
white	Лженаука
white	Секс в общественном туалете ночного клуба
white	Беспросветная стабильность современной России
white	Метание дротиков в портрет начальника
white	Шварценеггер
white	Хор упоротых медведей на горящем реакторе
white	Почтальон Течкин
white	Необъяснимое желание секса с овощами
white	Громыхание палкой внутри помойного ведра
white	Полосатый слон
white	Полуметровые бутерброды
white	Бессовестные хулиганы
white	Зомби-апокалипсис
white	Одна-единственная огромная мурашка
white	Полуфабрикаты
white	Окончательное раскрытие темы сисек
white	Раскладывание пасьянса на работе
white	Жопоболь
white	Движение в защиту неполноценных политиков
white	Камасутра в комиксах
white	Страхование от порабощения пришельцами
white	Впивающиеся в анус стринги
white	Богатый внутренний мир пятого размера
white	Поедание бороды Перельмана, чтобы получить его знания
white	Церковное пение
white	Душевные гадости
white	Непонятные намеки голой женщины в постели
white	Говно мамонта
white	Куклачев и его куклы
white	Настойчивое желание отдаться
white	Премия «Лучший шаурмен России»
white	Рыбалка в городском пруду
white	Случайный секс в отделе головных уборов
white	Безрукий клоун
white	Отчаянный лось, убегающий от стада разъяренных овец
white	Необъятные штаны Деда Мороза
white	Пимпочка
white	Себяшка
white	Ночная прогулка по спальному району Москвы
white	Хрустящие потягушки
white	Старшеклассницы
white	Тупая гильотина
white	Смазка 3 в 1
white	Белорусские апельсины и мидии
white	Вагинальные шарики
white	Ритмы шансона
white	Бокальные данные
white	Блондинки, красящие корни волос в темный цвет
white	Д'Артаньян и семеро козлят
white	Срань господня
white	Непорочная зайчатина
white	Кино про извращенцев
white	Доставание из широких штанин
white	Секс как способ знакомства
white	Детская неожиданность
white	Угроза нервного срыва
white	Надувание лягушек
white	Влажная встреча
white	Презерватив, не подошедший по размеру
white	Чилавек-малекула!
white	Волшебный порошок
white	Зеница пука
white	Лифтолук
white	1,5 кг картофельного пюре
white	Пельменный шведский стол
white	Чувство собственного отстоинства
white	Муравьи в штанах
white	Вальсирующие полицейские
white	Руки-крюки
white	Покемон Рыгачу
white	Истошный вопль
white	Мозговой слизень
white	Изощренные пытки
white	Мокрые рейтузы
white	Солнцеликий и всемогущий Владимир Владимирович
white	Настолько мощный приход, что отпускает через два дня
white	Шалава
white	Бабушкино варенье
white	Леди Гага, жующая свое мясное платье
white	Надоедливые консультанты в магазине
white	Удачное фото на паспорт
white	Бородатый мужик на скейте
white	Свиная отбивная с горошком
white	Пупочек-залупочек
white	Шуба из хомячков
white	Ненастоящий сварщик
white	Галстук-бабушка
white	Жопа с эльфийскими ушами
white	Застенчивые аниматоры
white	Группа анонимных пингвинов
white	Кандибобер
white	Похабные мысли в моей голове
white	Белочка
white	Отбеливание ануса
white	Рай в шалаше
white	Фонтанирующий унитаз
white	Вахтер в общежитии
white	Мудаки
white	Гитлер
white	Дарья Донцова и ее мопсы
white	Рыбий жир
white	Ватрушка
white	Корзина гадостей
white	Вышедшая из себя улитка
white	Взгляд на мир сквозь розовые очки
white	Отчаянный онанизм
white	Анальный фистинг как средство от неловкой паузы
white	Божий кариес
white	Треники
white	Бабки на лавке у подъезда
white	Надувная кукла Гитлера
white	Сандалии с носками
white	Владимирский централ
white	Регулярные обтирания борщом
white	Шлюхи
white	Злыдень писюкатый
white	Обучающее порно для юного зрителя
white	Сказочный губошлеп
white	Сопли, замерзшие на морозе
white	Летающий макаронный монстр
white	Золотой батон бывшего президента
white	Бескрайняя плоть
white	Неприличные ругательства
white	Восставшие из ада
white	Капитан Очевидность
white	Социальные сети для неудачников
white	Ворчание
white	Девушка с большим бюстом Ленина
white	Недержание
white	Глубокий горловой минет
white	Большой шоколадный член
white	Фунт лиха
white	Божья кара
white	Кошка в качестве глушителя для дробовика
white	Страх и ненависть в Госдуме
white	Священный орден нищебродов
white	Насасывание на джип
white	Противозачаточная внешность
white	Утипутин
white	Неведомая гребаная херня
white	Мудила и кадило
white	Моя правая рука
white	Бабки в очереди за бабками
white	Портянка с ароматом жасмина
white	Нервные клетки, убитые алкоголем
white	Мастурбация с помощью бахчевых культур
white	Прокачка девятки
white	Корячащий меч
white	Кармические мрази
white	Святые Угодники
white	Нетвердая размазняшка
white	Кокаинум
white	Клуб анонимных брошенных женщин
white	Покер на переодевание в клоуна
white	Жупел
white	Быдло
white	Суслик-адвокат
white	Неподкупный полицейский
white	Ромашковый портвейн
white	Страсти Глистовы
white	Ленин-зомби
white	Гондон как состояние души
white	Единороги
white	Мой дедушка
white	Бездарности на нашей сцене
white	Уличный музыкант
white	Зажигательные бомбы
white	Полуметровый дилдо
white	Сперма даздрапермы
white	Пальцы ног
white	Ящик просроченного пива
white	Порно с карликами
white	Добрые эсэсовцы
white	Одеколон «Вторая свежесть»
white	Метание лилипутов в цель
white	Отпугивание геев молитвой
white	Клоака сознания
white	Капитан Грушевидность
white	Полшестого
white	Неудачный пук
white	Женщина стасомихайловского возраста
white	Робот-гаишник
white	Монгольский артхаусный фильм
white	Кольцо Всезнайства
white	Блевозавр
white	Семки
white	Немой укор
white	Продажные женщины в норковых шубах
white	Собственная охеренность
white	Геноцид с использованием лучших мировых практик
white	Вундервафля
white	Радиоактивный карась
white	Альтернативно одаренный ребенок
white	Секс на людях
white	Просроченный говорящий йогурт
white	Обнаженные соски девственницы
white	Имитация сарказма
white	Таблетки для потенции
white	Татуировщик, набивающий всем купола
white	Реально нездоровая херня
white	Тысяча кусков сыра «Косичка»
white	Лошарики
white	Вегетарианская позиция
white	Нежное покусывание в правую ягодицу
white	Митрополит, отпускающий неприличные намеки
white	Мои обнаженные фотки в интернете
white	Пластиковый пакет в качестве презерватива
white	Повышенная стипендия
white	Ангельская внешность с сучьим характером
white	Карабас-Ганджубас
white	Сферический конь в вакууме
white	Мини-динозавры из инкубатора
white	Полная отдача в счет квартплаты
white	Воображаемые друзья
white	9 необычных фактов о пенисе
white	Путевка в жалкие страны
white	Секс по талонам
white	Взбесившаяся мандавошка
white	Предварительные сказки
white	Замороженная шаурма
white	Детский йогурт
white	Пикаперы
white	Терморектальный криптоанализатор
white	Камера в телефоне
white	Гимнастки и актрисы в качестве депутатов
white	Жеваный крот
white	Капитан Жека Воробьев
white	Граф Вракула
white	Генератор мурашек
white	Ковер на стене
white	Грибной лимонад
white	Хмурый
white	Лекарство от зависти
white	Утренняя пробежка на кладбище
white	Детский понос
white	Голая полужопица
white	Сексуальные сотрудники НИИ
white	Укурка
white	Демонический смех
white	Выживание в шахид-такси
white	Запор
white	Украшения для сосков
white	Гопники
white	Порнуха в переводе Гоблина
white	Порядочный политик
white	Гоги-стайл
white	Пацифист, убивающий несогласных
white	Нижнее белье из сыра
white	Принц на белом коне
white	Лоботомия шариковой ручкой
white	Майкл Джексон, друг всех советских детей
white	Стая перелетных кротов
white	Щекотные волосы на мужском лобке
white	Интимная стрижка в виде картины Репина
white	Шило в заднице
white	Ночная гусеница
white	Царевна-Выхухоль
white	Вши
white	Картавый лингвист
white	Выброс адреналина
white	Возвращение клубного сына
white	Вскрытие в учебных целях
white	Свидание с овцой соседа
white	Сурикатный столбняк
white	Простой славянин Жерар
white	Бег за троллейбусом
white	Хлеб-соль
white	Легендарный сантехник из немецких порнофильмов
white	Ранняя эякуляция
white	Челябинский метеорит
white	Граф Мудакула
white	Жидаи
white	Женский симуляционный центр
white	Рвотные позывы
white	Светский аут
white	Воссоединение группы «Мальчишник»
white	Танцующий унитаз
white	Каннибалы-веганы
white	Шляпа Михаила Боярского
white	Легкая котлетика
white	Дуня Кулакова
white	Мой фюрер
white	3854 орка
white	Сборная Кении по хоккею
white	Ландышевый пердеж
white	Заботливая стриптизерша
white	Толстая балерина
white	Опытный генерал диванных войск
white	Падение в унитаз после вставания на него ногами
white	Фальшиво-минетчица
white	Итальянский жиголо
white	Шелковистая борода Кончиты Вурст
white	Освежитель воздуха с запахом клея
white	Жареная селедка
white	Танцор, которому мешают яйца
white	Мех лобковый
white	Обсирание в штаны
white	Губы уточкой
white	Скучающий антихрист
white	Пудж
white	Дота
white	Байден
white	Трамп
white	Зеленский
white	Хуй
white	Снюс
white	Много мяса, мало теста
white	Убийство на почве древности
white	Виртуальный секс
white	Шлюха
white	Непроизвольный секс в автобусе
white	ЭТО СПАРТА!!!
white	Розовенькое трико
white	Глазированный сырок
white	Ящерки-пришельцы, управляющие нашим сознанием
white	Бразильская эпиляция
white	Кровавая ебля
white	Гинеколог, разворотивший чертово логово
white	Непорочное зачатие
white	Дедушкины яйца
white	Нежные поглаживания Николая Валуева
white	Сусли-адвокат
white	Единописи
white	Пробки в Москве
white	Гномики-автоматчики на боевых курицах
white	Портовая шлюха
white	Смерть через сну-сну
white	Ссущее зло
white	Пирсинг половых органов
white	Дуэль возбужденных тушканчиков
white	Утренняя смена в стриптиз клубе
white	Сочная пиписька
white	Сперма
white	Твоя мама
red	Моя любимая рубрика на дваче - это ____
red	Вашей маме ____ не нужен?
red	Конь заходит в бар. Он подходит к стойке и заказывает ____
red	Стоп-слово для БДСМ-игр: ____
red	Себе на хлеб я зарабатываю с помощью ____
red	А у нас в квартире газ! А у вас? А у нас ____
red	___ каждый раз заставляет меня плакать от умиления
red	Ощущения от первого секса похожи на ____
red	Женщинам нравятся большие ____
red	На каком свидании можно просить у парня ____?
red	Счастье человека состоит в созерцании ____
red	Дело о ____ будут рассматривать в суде
red	Следующим президентом США будет ____
red	Самое страшное биологическое оружие - это ____
red	____ мешает бегать по утрам
red	Пока в мире есть ____, то романтика не умрет
red	На гербе Челябинска должен быть нарисован ____
red	Очень некрасивую девочку в школе дразнили ____
red	Если бы я был индейцем, моим прозвищем было бы ____
red	Зачем ходить к психологу, если есть ____?
red	Проктолог обнаружил страшную находку. Это был ____
red	На глубине Марсианской впадины можно найти ____
red	Если бога нет, то кто тогда создал ____? Шах и мат, атеисты!
red	Если есть на свете рай - это Краснодарский ____
red	Я никогда не видел пользы от ____
red	Чтобы поднять Россию с колен, нужно ____
red	Путь к сердцу мужчины лежит через ____
red	Эксперимент с ____ был неудачным
red	Зачем нужны наркотики, если есть ____
red	Третья мировая начнется из-за ____
red	Согласно новому закону, в России запрещается ____
red	Для полного счаться мне не хватает только ____
red	Я бы хотел, чтобы на моих похоронах был ____
red	Как перестать полагаться на удачу и положиться на ____
red	Спасибо мужу за ____! Это чудесный подарок
red	Увидел во сне ____ и кончил
red	Первое знамение конца света - это ____
red	На шестой день создал Бог ____. И увидел Бог, что это хорошо
red	На мое совершеннолетие родители подарили мне ____
red	Лучший способ контрацепции - это ____
red	Твоя мама красивая, словно ____
red	Лучшая часть любого путешествия - это ____
red	Я бы хотел умереть от ____
red	____ - это самое страшное наказание для преступника
red	Чтобы заставить твою девушку замолчать, нужно всего лишь ____
red	Еврейское счастье - это ____
red	Большому кораблю - ____
red	В чем сила, брат? Я думаю, сила в ____
red	Если бы не ____, я бы бросил пить
red	Как обрести дзен, если вокруг ____?
red	Как скрыть от начальства ____?
red	Ебите меня семеро! Это же ____
red	____ при Собянине преобразился
red	«Черт меня дери», - сказал Папа Римский, когда увидел ____
red	Заставить феминистку оскорбиться может только ____
red	Русская национальная идея - это ____
red	Люблю запах ____ по утрам
red	В любой непонятной ситуации меня спасал ____
red	Если бы я был президентом, я бы первым делом запретил ____
red	Сосиски делаются из ____
red	Моя девушка бросила меня, потому что я любил ____
red	Я могу говорить бесконечно о ____
red	Один раз не ____
red	Я не выхожу из дома без ____
red	Дантес вызвал Пушкина на дуэль из-за ____
red	Утро начинается не с кофе, а с ____
red	Быть геем - это ____
red	Не каждый заслуживает ____
red	Я постоянно возбужаюсь от мысли о ____
red	Я бы лучше умер, чем увидел ____
red	Секс с моей бывшей (бывшим) был похож на ____
red	____ - быстрый способ забеременеть
red	В качестве допинга спортсмены используют ____
red	На моем районе за ____ могли и пизды дать
red	____ - это полный пиздец
red	Мамочка, кажется, у меня под кроватью ____
red	Зачем встречаться с девушкой, у которой нет ____?
red	Древнее египетских пирамид только ____
red	Если Бога нет, то кто придумал ____?
red	____ - истинное женское счастье
red	Я готов убить за ____
red	Секс - это, конечно, здорово, но вы пробовали ____?
red	На выборы в США повлиял ____
red	Моим первым детским воспоминанием было ____
red	Доказательство существования Бога - это ____
red	Моя главная эротическая фантазия - это ____
red	Как отписаться от ____?
red	Если бы не ____, моя жизнь была бы лучше
red	Папа ушел из семьи из-за ____
red	____ - вот о чем я мечтал в детстве
red	Как выглядеть дружелюбным и позитивным, когда внутри ____?
red	В моем городе праздник, когда приезжает ____
red	Мое любимое изобретение - ____
red	Лучше пять раз ____, чем вставать в 8 утра
red	У меня не депрессия, я просто ____
red	Мама думает, что я инженер, а на самом деле я ____
red	Мама обиделась на папу из-за ____
red	Купил домой ____, а оно вибрирует
red	____ - лучшее средство от насекомых
red	Мой друг совершил каминг-аут, а я ____
red	____ — вот чем должна гордиться Россия
red	____ у меня в крови. Это секрет моего успеха в бизнесе
red	____ — лучший способ воспитания ребенка
red	Надежный способ победить на парламентских выборах — ____
red	Кто я? Тварь дрожащая или ____ имею
red	В рот мне ____!
red	____ — современное оружие революции
red	В следующем веке ____ заменит людям секс
red	На следующих выборах преемником Путина станет ____
red	Венец моей карьеры — ____
red	Впервые на арене цирка! ____!
red	____ помогает мне защищаться от хулиганов
red	Кто-то выпрашивает цветочки, а я ____
red	____ — мое основное накопление на пенсию
red	____ обязательно возьмут в экспедицию на Марс
red	Если бы я был супергероем, то меня бы звали Человек-____
red	Нанотехнологии в действии! Сколковские ученые представили новую разработку: «____»
red	Мужчина, который не любит ____, неинтересен женщинам
red	На уроках труда в Китае дети делают смартфоны, телевизоры и ____
red	Береги ____ смолоду!
red	Да пребудет с тобой ____
red	С подчиненными я использую метод кнута и ____
red	Любимый фокус Михаила Боярского — доставание ____ из шляпы
red	Не знаете, чем заняться в отпуске? Попробуйте ____
red	Почти все наши налоги тратятся на одно — ____
red	____ после бани — омолаживает
red	Здорово было бы, если бы вместо надписи «Конец» в фильмах показывали ____
red	В следующем году ____ станет обязательным предметом школьной программы
red	Формула вечной жизни: ____ и немного алкоголя каждый день
red	Выяснилось, что люди, которые знакомятся в интернете, ищут одного — ____
red	Британские ученые выяснили, что ____ — главная причина алкоголизма
red	Каждому человеку для секса нужен ____
red	Ешь, молись, ____
red	Лучшее средство от комаров — ____
red	Селфи с ____ сделало меня популярным
red	____ в большинстве случаев — просто нелепая женская отговорка
red	В гостях хорошо, а лучше ____
red	Президент будет править вечно. Его секрет — ____
red	Алкоголизм — это просто обратная сторона ____
red	За кольцо с бриллиантом не соглашайтесь на меньшее, чем ____
red	Ученые открыли новое заболевание. В переводе с латыни его название звучит как ____
red	То ли девочка, а то ли ____
red	Что мне мешает бегать по утрам?
red	Лучший подарок на день рождения — ____
red	Что обязательно нужно брать на спортивную тренировку?
red	Узнать, девочка перед вами или мальчик, поможет ____
red	По утрам я люблю встать, ____ и позавтракать
red	Мой единственный недостаток — это ____
red	День рождения — отличный повод для ____
red	В мире много хороших людей, но я всегда общаюсь с ____
red	В нашей стране на выборах можно увидеть только ____
red	Шла Саша по шоссе и сосала ____
red	Смех без причины — признак ____
red	____ с утра — гарантированный секс вечером
red	Деда Мороза не существует, на самом деле он — ____
red	Продвинуться по карьерной лестнице вам поможет ____ в качестве подарка боссу
red	Каждый мужчина думает о ____ 40 раз в день
red	____ по-прежнему остается самым надежным противозачаточным средством
red	У каждого свой ____ в шкафу
red	Ради ____ я отказался от участия в оргии
red	Угрожая людям с ____ в руке, вы похожи на идиота
red	Последствия применения ____ могут быть непредсказуемы
red	На первом свидании не нужно слов — подари ____
red	То, что в мире называют кризисом, в России называют ____
red	Здравствуйте, доктор. У меня новая проблема со здоровьем — ____‚ что посоветуете?
red	Проблему низкой рождаемости в России можно решить с помощью ____
red	Собери 100 крышечек от пива и сделай из них ____
red	Традиционный секс мне приелся, теперь я беру в постель ____
red	Проходите! Моя секретарша сделает вам ____
red	Про дураков и дороги все в курсе, но есть и третья проблема — ____
red	Моя несбыточная мечта — ____
red	Я бы любил свою работу, если бы ____ всегда было рядом с моим столом
red	Живешь только однажды, не отказывай себе в ____
red	В конце всех отношений только одно — ____
red	Взрослая жизнь — это ____
red	На что похожа моя личная жизнь?
red	____ лучший друг женских ртов
red	____ разбудит лучше поцелуя
red	Вот бы мне подарили ____ на кассе в супермаркете!
red	Новый бизнес: срочная доставка ____
red	____ — то, что каждый хочет получить в подарок, но не каждый может
red	Чтобы стать моделью, нужно иметь отличную попку и ____
red	Любовь не купишь, но можно купить ____‚ а это почти то же самое
red	Как прожить месяц без ____ и не лишиться рассудка
red	Когда мужчины не понимают по-хорошему, в ход идет ____
red	Любовь за деньги — это то же самое, что ____ бесплатно
red	Папарацци узнали, что до того как стать президентом, Владимир Владимирович нескольно лет работал ____
red	Лучшие друзья девушек — это ____
red	О боже, какой мужчина! Я хочу от тебя ____
red	Мыши плакали, кололись, но продолжали жрать ____
red	Любой супергерой боится только одного — ____
red	В российских лесах обнаружено новое животное — ____
red	На Луне можно найти две вещи: мячики для гольфа и ____
red	____ помогает уйти от мрачной действительности в мир иллюзий
red	Переходи на темную сторону, у нас есть ____
red	Карл у Клары украл кораллы, а Клара у Карла украла ____
red	Лучше секса может быть только ____
red	Сидит девица в темнице, а на улице ____
red	Человек, который изобрел ____ должен быть жестоко наказан
red	Сенсация! Никита Джигурда по ночам переодевается в костюм ____ и гуляет по городу
red	Всем странным поступкам есть одно объяснение — ____
red	От ____ еще никто не умирал
red	По статистике каждая девушка до 18 лет страдает от ____
red	Клуб анонимных ____ набирает новую группу
red	Не имей 100 рублей, а имей 100 ____
red	Администрация США заявила, что готова к применению ____ в качестве санкций по отношению к России